분류,일반/특별,제휴사,프로모션명,시작일,종료일,내용,카테고리,혜택,Thumbnail,Detail
자체,일반,,🎉바로팜🏥BPCS(처방전달솔루션),2026-03-04,2126-03-31,바로팜 이벤트,,,https://i.baropharm.com/event/93fd22a9-8551-4689-88d2-4cd6ae46908f.png?&w=752&q=95,
자체,일반,,🎉팜올플러스📚약사는 처음이지😉,2026-02-11,2126-03-31,팜올플러스 이벤트,,,https://i.baropharm.com/event/e4cf6abd-b83e-4806-a161-397a8735a8b1.png?&w=752&q=95,
자체,일반,,🎉팜올플러스📚에듀플러스,2026-02-11,2126-03-31,팜올플러스 이벤트,,,https://i.baropharm.com/event/f31d47f2-0273-4ca9-bec5-bb6f694e4676.png?&w=752&q=95,
자체,일반,,🎉바로팜📦Baro통합반품,2024-01-01,2126-12-31,바로팜 이벤트,,,https://i.baropharm.com/event/7e65432b-3a68-42d1-84c4-977c91024479.png?&w=752&q=95,
미분류,일반,,발모의 여왕👑 엘크라넬 바로라이브📺,2026-04-13,2026-04-22,바로팜 이벤트,,,https://i.baropharm.com/event/f2ffbf4f-b839-463b-b9a5-729e6a658434.png?&w=752&q=95,
미분류,일반,,🎉바로팜🏥BPCS 4월 이벤트,2026-04-15,2026-04-30,바로팜 이벤트,,,https://i.baropharm.com/uploads/event/202604/1776172106609.png?&w=752&q=95,
미분류,일반,,"🎉팜올플러스📚열심히 공부한 당신, 먹어라!",2026-04-14,2026-04-30,팜올플러스 이벤트,,,https://i.baropharm.com/event/602fb6e4-bfea-43ca-bdbf-130ecd9d52d8.png?&w=752&q=95,
미분류,일반,,🎉바로팜📸4월도 찰칵! 필렌즈 챌린지,2026-04-01,2026-04-30,바로팜 이벤트,,,https://i.baropharm.com/event/38024628-8f21-4239-9c0d-a526f317a6b6.png?&w=752&q=95,
제휴,일반,드림에어,[드림에어] 4월 봄맞이 월간이벤트💐,2026-04-01,2026-04-30,입점업체 이벤트,,,https://i.baropharm.com/event/1ac4f2c5-f2cc-4bb2-a7dd-eeb610145b79.jpg?&w=752&q=95,
미분류,일반,,🎉바로팜💊필렌즈 2만한 선택💟,2026-03-30,2026-04-30,바로팜 이벤트,,,https://i.baropharm.com/event/e535d3d8-7337-4d9d-ac59-896ca8d758ca.png?&w=752&q=95,
미분류,일반,,"셀트리온 더마 솔루션 ""지피덤"" 입점 이벤트",2026-02-11,2026-05-01,브랜드관 이벤트,,,https://i.baropharm.com/event/ab46a1a4-b6e5-4963-8961-e6455986fa59.png?&w=752&q=95,
미분류,일반,,🍱헤이오드리 x 바로팜 점심 지원 이벤트,2026-02-09,2026-05-01,커뮤니티 이벤트,,,https://i.baropharm.com/event/f5bf28cf-ecbe-4ee0-ae5f-6f9e2b541872.png?&w=752&q=95,
미분류,일반,,📝 전문가상담 리포트,2026-03-30,2026-12-31,바로팜 이벤트,,,https://i.baropharm.com/event/d006e9b3-fc2b-4acc-bef1-cbd8831cb0fa.png?&w=752&q=95,
미분류,일반,,의약품플러스_도배 배너,,,,,,https://i.baropharm.com/uploads/banners/202604/1776264397214.gif,
